id,keyword,intent,cluster,volume,allintitle,kgr,priority,density,placement
30,keyword density in seo content template,Informational,SEO Writing,1470,229,0.25,High,1-2%,"H1, intro, H2, meta, alt text"
31,keyword density in seo content examples,Informational,SEO Writing,1489,229,0.25,High,1-2%,"H1, intro, H2, meta, alt text"
32,keyword density in seo content for students,Informational,SEO Writing,1508,274,0.3,Medium,1-2%,"H1, intro, H2, meta, alt text"
33,keyword density in seo content for beginners,Informational,SEO Writing,1527,285,0.32,Medium,1-2%,"H1, intro, H2, meta, alt text"
34,keyword density in seo content India,Informational,SEO Writing,1546,196,0.22,High,1-2%,"H1, intro, H2, meta, alt text"
35,keyword density in seo content checklist,Informational,SEO Writing,1565,240,0.27,Medium,1-2%,"H1, intro, H2, meta, alt text"
36,keyword density in seo content 2026,Informational,SEO Writing,1584,184,0.2,High,1-2%,"H1, intro, H2, meta, alt text"
37,how to write seo friendly blog post,Informational,Blog Writing,3103,510,0.21,High,1-2%,"H1, intro, H2, meta, alt text"
38,how to write seo friendly blog post guide,Informational,Blog Writing,3122,714,0.3,Medium,1-2%,"H1, intro, H2, meta, alt text"
39,how to write seo friendly blog post template,Informational,Blog Writing,3141,836,0.35,Medium,1-2%,"H1, intro, H2, meta, alt text"
40,how to write seo friendly blog post examples,Informational,Blog Writing,3160,836,0.35,Medium,1-2%,"H1, intro, H2, meta, alt text"
41,how to write seo friendly blog post for students,Informational,Blog Writing,3179,999,0.42,Medium,1-2%,"H1, intro, H2, meta, alt text"
42,how to write seo friendly blog post for beginners,Informational,Blog Writing,3198,1040,0.43,Medium,1-2%,"H1, intro, H2, meta, alt text"
43,how to write seo friendly blog post India,Informational,Blog Writing,3217,714,0.3,Medium,1-2%,"H1, intro, H2, meta, alt text"
44,how to write seo friendly blog post checklist,Informational,Blog Writing,3236,877,0.37,Medium,1-2%,"H1, intro, H2, meta, alt text"
45,how to write seo friendly blog post 2026,Informational,Blog Writing,3255,673,0.28,Medium,1-2%,"H1, intro, H2, meta, alt text"
46,meta title and meta description examples,Informational,Metadata,2474,250,0.16,High,1-2%,"H1, intro, H2, meta, alt text"
47,meta title and meta description examples guide,Informational,Metadata,2493,350,0.22,High,1-2%,"H1, intro, H2, meta, alt text"
48,meta title and meta description examples template,Informational,Metadata,2512,410,0.26,Medium,1-2%,"H1, intro, H2, meta, alt text"
49,meta title and meta description examples examples,Informational,Metadata,2531,410,0.26,Medium,1-2%,"H1, intro, H2, meta, alt text"
50,meta title and meta description examples for students,Informational,Metadata,2550,490,0.31,Medium,1-2%,"H1, intro, H2, meta, alt text"
51,meta title and meta description examples for beginners,Informational,Metadata,2569,510,0.32,Medium,1-2%,"H1, intro, H2, meta, alt text"
52,meta title and meta description examples India,Informational,Metadata,2588,350,0.22,High,1-2%,"H1, intro, H2, meta, alt text"
53,meta title and meta description examples checklist,Informational,Metadata,2607,430,0.27,Medium,1-2%,"H1, intro, H2, meta, alt text"
54,meta title and meta description examples 2026,Informational,Metadata,2626,330,0.21,High,1-2%,"H1, intro, H2, meta, alt text"
55,h1 h2 h3 heading structure seo,Informational,Structure,1895,130,0.15,High,1-2%,"H1, intro, H2, meta, alt text"
56,h1 h2 h3 heading structure seo guide,Informational,Structure,1914,182,0.21,High,1-2%,"H1, intro, H2, meta, alt text"
57,h1 h2 h3 heading structure seo template,Informational,Structure,1933,213,0.25,High,1-2%,"H1, intro, H2, meta, alt text"
58,h1 h2 h3 heading structure seo examples,Informational,Structure,1952,213,0.25,High,1-2%,"H1, intro, H2, meta, alt text"
59,h1 h2 h3 heading structure seo for students,Informational,Structure,1971,254,0.3,Medium,1-2%,"H1, intro, H2, meta, alt text"
60,h1 h2 h3 heading structure seo for beginners,Informational,Structure,1990,265,0.31,Medium,1-2%,"H1, intro, H2, meta, alt text"
61,h1 h2 h3 heading structure seo India,Informational,Structure,2009,182,0.21,High,1-2%,"H1, intro, H2, meta, alt text"
62,h1 h2 h3 heading structure seo checklist,Informational,Structure,2028,223,0.26,Medium,1-2%,"H1, intro, H2, meta, alt text"
63,h1 h2 h3 heading structure seo 2026,Informational,Structure,2047,171,0.2,High,1-2%,"H1, intro, H2, meta, alt text"
64,blog content optimization checklist,Informational,Checklist,1916,105,0.15,High,1-2%,"H1, intro, H2, meta, alt text"
65,blog content optimization checklist guide,Informational,Checklist,1935,147,0.21,High,1-2%,"H1, intro, H2, meta, alt text"
66,blog content optimization checklist template,Informational,Checklist,1954,172,0.25,High,1-2%,"H1, intro, H2, meta, alt text"
67,blog content optimization checklist examples,Informational,Checklist,1973,172,0.25,High,1-2%,"H1, intro, H2, meta, alt text"
68,blog content optimization checklist for students,Informational,Checklist,1992,205,0.29,Medium,1-2%,"H1, intro, H2, meta, alt text"
69,blog content optimization checklist for beginners,Informational,Checklist,2011,214,0.31,Medium,1-2%,"H1, intro, H2, meta, alt text"
70,blog content optimization checklist India,Informational,Checklist,2030,147,0.21,High,1-2%,"H1, intro, H2, meta, alt text"
71,blog content optimization checklist checklist,Informational,Checklist,2049,180,0.26,Medium,1-2%,"H1, intro, H2, meta, alt text"
72,blog content optimization checklist 2026,Informational,Checklist,2068,138,0.2,High,1-2%,"H1, intro, H2, meta, alt text"
73,digital marketing content writing project,Commercial,Portfolio,2007,94,0.15,High,1-2%,"H1, intro, H2, meta, alt text"
74,digital marketing content writing project guide,Commercial,Portfolio,2026,131,0.21,High,1-2%,"H1, intro, H2, meta, alt text"
75,digital marketing content writing project template,Commercial,Portfolio,2045,154,0.25,High,1-2%,"H1, intro, H2, meta, alt text"
76,digital marketing content writing project examples,Commercial,Portfolio,2064,154,0.25,High,1-2%,"H1, intro, H2, meta, alt text"
77,digital marketing content writing project for students,Commercial,Portfolio,2083,184,0.3,Medium,1-2%,"H1, intro, H2, meta, alt text"
78,digital marketing content writing project for beginners,Commercial,Portfolio,2102,191,0.31,Medium,1-2%,"H1, intro, H2, meta, alt text"
79,digital marketing content writing project India,Commercial,Portfolio,2121,131,0.21,High,1-2%,"H1, intro, H2, meta, alt text"
80,digital marketing content writing project checklist,Commercial,Portfolio,2140,161,0.26,Medium,1-2%,"H1, intro, H2, meta, alt text"
81,digital marketing content writing project 2026,Commercial,Portfolio,2159,124,0.2,High,1-2%,"H1, intro, H2, meta, alt text"
82,content writing portfolio for students,Commercial,Portfolio,2318,128,0.17,High,1-2%,"H1, intro, H2, meta, alt text"
83,content writing portfolio for students guide,Commercial,Portfolio,2337,179,0.24,High,1-2%,"H1, intro, H2, meta, alt text"
84,content writing portfolio for students template,Commercial,Portfolio,2356,209,0.28,Medium,1-2%,"H1, intro, H2, meta, alt text"
85,content writing portfolio for students examples,Commercial,Portfolio,2375,209,0.28,Medium,1-2%,"H1, intro, H2, meta, alt text"
86,content writing portfolio for students for students,Commercial,Portfolio,2394,250,0.33,Medium,1-2%,"H1, intro, H2, meta, alt text"
87,content writing portfolio for students for beginners,Commercial,Portfolio,2413,261,0.34,Medium,1-2%,"H1, intro, H2, meta, alt text"
88,content writing portfolio for students India,Commercial,Portfolio,2432,179,0.24,High,1-2%,"H1, intro, H2, meta, alt text"
89,content writing portfolio for students checklist,Commercial,Portfolio,2451,220,0.29,Medium,1-2%,"H1, intro, H2, meta, alt text"
90,content writing portfolio for students 2026,Commercial,Portfolio,2470,168,0.22,High,1-2%,"H1, intro, H2, meta, alt text"
91,seo friendly content examples,Informational,Examples,2829,188,0.17,High,1-2%,"H1, intro, H2, meta, alt text"
92,seo friendly content examples guide,Informational,Examples,2848,263,0.24,High,1-2%,"H1, intro, H2, meta, alt text"
93,seo friendly content examples template,Informational,Examples,2867,308,0.28,Medium,1-2%,"H1, intro, H2, meta, alt text"
94,seo friendly content examples examples,Informational,Examples,2886,308,0.28,Medium,1-2%,"H1, intro, H2, meta, alt text"
95,seo friendly content examples for students,Informational,Examples,2905,368,0.33,Medium,1-2%,"H1, intro, H2, meta, alt text"
96,seo friendly content examples for beginners,Informational,Examples,2924,383,0.35,Medium,1-2%,"H1, intro, H2, meta, alt text"
97,seo friendly content examples India,Informational,Examples,2943,263,0.24,High,1-2%,"H1, intro, H2, meta, alt text"
98,seo friendly content examples checklist,Informational,Examples,2962,323,0.29,Medium,1-2%,"H1, intro, H2, meta, alt text"
99,seo friendly content examples 2026,Informational,Examples,2981,248,0.23,High,1-2%,"H1, intro, H2, meta, alt text"
100,copywriting for digital marketing,Informational,Copywriting,3800,475,0.25,High,1-2%,"H1, intro, H2, meta, alt text"
101,copywriting for digital marketing guide,Informational,Copywriting,3819,665,0.35,Medium,1-2%,"H1, intro, H2, meta, alt text"
102,copywriting for digital marketing template,Informational,Copywriting,3838,779,0.41,Medium,1-2%,"H1, intro, H2, meta, alt text"
103,copywriting for digital marketing examples,Informational,Copywriting,3857,779,0.41,Medium,1-2%,"H1, intro, H2, meta, alt text"
104,copywriting for digital marketing for students,Informational,Copywriting,3876,931,0.49,Medium,1-2%,"H1, intro, H2, meta, alt text"
105,copywriting for digital marketing for beginners,Informational,Copywriting,3895,969,0.51,Low,1-2%,"H1, intro, H2, meta, alt text"
106,copywriting for digital marketing India,Informational,Copywriting,3914,665,0.35,Medium,1-2%,"H1, intro, H2, meta, alt text"
107,copywriting for digital marketing checklist,Informational,Copywriting,3933,817,0.43,Medium,1-2%,"H1, intro, H2, meta, alt text"
108,copywriting for digital marketing 2026,Informational,Copywriting,3952,627,0.33,Medium,1-2%,"H1, intro, H2, meta, alt text"
